Timestamp,CPU(m),Memory(Mi)
2025-11-30 02:02:48.829,36m,21Mi
2025-11-30 02:02:49.480,36m,21Mi
2025-11-30 02:02:50.140,36m,21Mi
2025-11-30 02:02:50.794,36m,21Mi
2025-11-30 02:02:51.452,36m,21Mi
2025-11-30 02:02:52.104,36m,21Mi
2025-11-30 02:02:52.765,36m,21Mi
2025-11-30 02:02:53.420,36m,21Mi
2025-11-30 02:02:54.073,36m,21Mi
2025-11-30 02:02:54.726,36m,21Mi
2025-11-30 02:02:55.381,36m,21Mi
2025-11-30 02:02:56.035,36m,21Mi
2025-11-30 02:02:56.683,36m,21Mi
2025-11-30 02:02:57.340,36m,21Mi
2025-11-30 02:02:58.002,36m,21Mi
2025-11-30 02:02:58.670,36m,22Mi
2025-11-30 02:02:59.324,36m,22Mi
2025-11-30 02:02:59.979,36m,22Mi
2025-11-30 02:03:00.634,36m,22Mi
2025-11-30 02:03:01.292,36m,22Mi
2025-11-30 02:03:01.948,36m,22Mi
2025-11-30 02:03:02.607,36m,22Mi
2025-11-30 02:03:03.265,36m,22Mi
2025-11-30 02:03:03.929,36m,22Mi
2025-11-30 02:03:04.584,36m,22Mi
2025-11-30 02:03:05.239,36m,22Mi
2025-11-30 02:03:05.899,36m,22Mi
2025-11-30 02:03:06.555,36m,22Mi
2025-11-30 02:03:07.208,36m,22Mi
2025-11-30 02:03:07.867,36m,22Mi
2025-11-30 02:03:08.532,36m,22Mi
2025-11-30 02:03:09.182,36m,22Mi
2025-11-30 02:03:09.839,36m,22Mi
2025-11-30 02:03:10.492,36m,22Mi
2025-11-30 02:03:11.153,36m,22Mi
2025-11-30 02:03:11.810,36m,22Mi
2025-11-30 02:03:12.470,36m,22Mi
2025-11-30 02:03:13.135,36m,22Mi
2025-11-30 02:03:13.801,37m,21Mi
2025-11-30 02:03:14.458,37m,21Mi
2025-11-30 02:03:15.122,37m,21Mi
2025-11-30 02:03:15.782,37m,21Mi
2025-11-30 02:03:16.456,37m,21Mi
2025-11-30 02:03:17.107,37m,21Mi
2025-11-30 02:03:17.762,37m,21Mi
2025-11-30 02:03:18.421,37m,21Mi
2025-11-30 02:03:19.077,37m,21Mi
2025-11-30 02:03:19.739,37m,21Mi
2025-11-30 02:03:20.392,37m,21Mi
2025-11-30 02:03:21.055,37m,21Mi
2025-11-30 02:03:21.703,37m,21Mi
2025-11-30 02:03:22.366,37m,21Mi
2025-11-30 02:03:23.023,37m,21Mi
2025-11-30 02:03:23.682,37m,21Mi
2025-11-30 02:03:24.340,37m,21Mi
2025-11-30 02:03:24.998,37m,21Mi
2025-11-30 02:03:25.659,37m,21Mi
2025-11-30 02:03:26.324,37m,21Mi
2025-11-30 02:03:26.983,37m,21Mi
2025-11-30 02:03:27.637,37m,21Mi
2025-11-30 02:03:28.301,37m,21Mi
2025-11-30 02:03:28.961,37m,22Mi
2025-11-30 02:03:29.612,37m,22Mi
2025-11-30 02:03:30.272,37m,22Mi
2025-11-30 02:03:30.937,37m,22Mi
2025-11-30 02:03:31.598,37m,22Mi
2025-11-30 02:03:32.252,37m,22Mi
2025-11-30 02:03:32.903,37m,22Mi
2025-11-30 02:03:33.567,37m,22Mi
2025-11-30 02:03:34.218,37m,22Mi
2025-11-30 02:03:34.872,37m,22Mi
2025-11-30 02:03:35.530,37m,22Mi
2025-11-30 02:03:36.190,37m,22Mi
2025-11-30 02:03:36.848,37m,22Mi
2025-11-30 02:03:37.500,37m,22Mi
2025-11-30 02:03:38.161,37m,22Mi
2025-11-30 02:03:38.822,37m,22Mi
2025-11-30 02:03:39.486,37m,22Mi
2025-11-30 02:03:40.146,37m,22Mi
2025-11-30 02:03:40.798,37m,22Mi
2025-11-30 02:03:41.451,37m,22Mi
2025-11-30 02:03:42.112,37m,22Mi
2025-11-30 02:03:42.766,37m,22Mi
2025-11-30 02:03:43.421,83m,1Mi
2025-11-30 02:03:44.072,83m,1Mi
2025-11-30 02:03:44.728,83m,1Mi
2025-11-30 02:03:45.377,83m,1Mi
2025-11-30 02:03:46.035,83m,1Mi
2025-11-30 02:03:46.697,83m,1Mi
2025-11-30 02:03:47.361,83m,1Mi
2025-11-30 02:03:48.015,83m,1Mi
2025-11-30 02:03:48.669,83m,1Mi
2025-11-30 02:03:49.322,83m,1Mi
2025-11-30 02:03:49.984,83m,1Mi
