Timestamp,TOTAL-AMF-MEM
2404.224,97
2409.551,97
2414.867,97
2420.197,97
2425.534,97
2430.86,97
2436.237,97
2441.603,97
2446.931,97
2452.247,97
2457.844,97
2463.18,97
2468.505,97
2473.854,97
2479.184,97
2484.491,97
2489.807,97
2495.135,97
2500.459,97
2505.786,97
2511.659,97
2517.091,97
2522.435,97
2527.763,97
2533.752,97
2539.865,97
2545.189,97
2550.547,97
2555.889,97
2561.235,97
2566.566,97
2571.917,97
2577.235,97
2582.58,97
2588.019,97
2593.957,97
2599.819,97
2605.673,97
2614.128,97
2620.964,97
2626.282,97
2631.617,97
2637.689,97
2643.12,97
2648.468,97
2653.795,97
2660.957,97
2667.949,97
2673.26,97
2679.945,97
2685.688,97
2692.203,97
2697.531,97
2702.982,97
2708.317,97
2713.701,97
2723.079,97
2729.92,97
2735.255,97
2740.589,97
2745.916,97
2751.233,97
2756.836,97
2763.081,97
2768.42,97
2773.75,97
2780.702,97
2787.699,97
2795.853,97
2801.198,97
2806.734,97
2812.702,97
2822.18,97
2827.5,97
2832.837,97
2838.171,97
2843.702,97
2849.076,97
2858.786,97
2864.095,97
2870.708,97
2877.232,97
2882.555,97
2887.964,97
2893.826,97
2899.915,97
2905.713,97
2912.138,97
2917.467,97
2922.801,97
2928.176,97
2934.207,97
2939.536,97
2945.798,97
2951.155,97
2956.501,97
2962.7,97
2968.119,97
2973.438,97
2978.772,97
2984.099,97
2989.443,97
2994.79,97
3000.131,97
3005.467,97
3010.979,97
3016.367,97
